seller_id,total_orders,total_items_sold,total_revenue,avg_review_score,seller_rating_category,avg_delivery_delay
0015a82c2db000af6aaaf3ae2ecb0532,3,3,2748.06,3.6666666666666665,Average,-15.593379629620662
001cca7ae9ae17fb1caed9dfb1094831,195,234,33142.9,3.965367965367965,Average,-12.569366245259905
002100f778ceb8431b7a1020ff7ab48f,50,54,1995.16,4.037037037037037,High Rated,-7.395118955729736
003554e2dce176b5555353e4f3555ac8,1,1,139.38,5.0,High Rated,-26.066793981473893
004c9cd9d87a3c30c522c48c4fc07416,156,168,23094.02,4.156626506024097,High Rated,-11.331696221887666
00720abe85ba0859807595bbf045a33b,13,26,1323.48,3.6538461538461537,Average,-12.015145566242818
00ab3eff1b5192e5f1a63bcecfee11c8,1,1,110.08,5.0,High Rated,-9.461099537089467
00d8b143d12632bad99c0ad66ad52825,1,1,137.1,5.0,High Rated,-21.296087963040918
00ee68308b45bc5e2660cd833c3f81cc,135,172,23440.66,4.3274853801169595,High Rated,-10.15490013997742
00fc707aaaad2d31347cf883cd2dfe10,103,135,14969.99,3.791044776119403,Average,-14.832353566528333
010543a62bd80aa422851e79a3bc7540,2,2,1447.95,4.5,High Rated,-7.753888888983056
010da0602d7774602cd1b3f5fb7b709e,1,5,1079.75,1.0,Low Rated,-9.109456018544734
011b0eaba87386a2ae96a7d32bb531d1,1,2,129.16,4.0,High Rated,-29.522291666828096
01266d4c46afa519678d16a8b683d325,3,3,137.48,5.0,High Rated,-8.601331018532315
013900e863eace745d3ec7614cab5b1a,23,26,2089.37,4.730769230769231,High Rated,-15.359030448759977
014c0679dd340a0e338872e7ec85666a,14,15,7686.31,3.6666666666666665,Average,-11.052038580241303
014d9a685fd57276679edd00e07089e5,11,12,876.81,3.8333333333333335,Average,-11.91717303241603
0176f73cc1195f367f7b32db1e5b3aa8,37,38,5915.27,4.052631578947368,High Rated,-8.08113639132659
01bcc9d254a0143f0ce9791b960b2a47,10,10,1644.69,4.4,High Rated,-17.622724537039176
01c97ebb5cdac52891c0ed1c37ba0012,9,12,756.0,4.083333333333333,High Rated,-8.55819637347789
01cf7e3d21494c41fb86034f2e714fa1,59,65,11404.01,4.1875,High Rated,-14.512121794874279
01ed254b9ff8407dfb9d99ba1e17d923,5,5,1533.71,5.0,High Rated,-16.234027777705343
01fd077212124329bac32490e8ef80d9,31,39,1783.3600000000001,4.3076923076923075,High Rated,-11.213219076395035
01fdefa7697d26ad920e9e0346d4bd1b,128,130,17532.79,4.372093023255814,High Rated,-12.992729433765636
0241d4d5d36f10f80c644447315af0bd,238,246,38251.61,4.3061224489795915,High Rated,-12.3078672180664
0249d282d911d23cb8b869ab49c99f53,11,11,531.88,4.2727272727272725,High Rated,-7.532287457915531
024b564ae893ce8e9bfa02c10a401ece,2,8,918.4,4.75,High Rated,-39.97060474543832
028872bfa080090a9d0abd4f1af168f8,1,3,117.87,5.0,High Rated,-14.13626157399267
02b72cdeb9cfcc429f1af6f4e3f3b737,4,4,748.6400000000001,4.75,High Rated,-8.285228587919846
02c988090b766852e088c69d7fb3b551,12,16,1770.94,4.6875,High Rated,-10.207502893463243
02d35243ea2e497335cd0f076b45675d,14,16,6399.95,2.6875,Low Rated,-5.5459787326690275
02dcd3e8e25bee036e32512bcf175493,13,15,1623.49,3.933333333333333,Average,-5.264409722201526
02ecc2a19303f05e59ce133fd923fff7,21,24,5742.4,4.541666666666667,High Rated,-14.31782455633705
02f5837340d7eb4f653d676c7256523a,30,30,4463.88,4.833333333333333,High Rated,-16.664940972207113
02f623a8eb246f3c5f7c2f96462654e6,44,44,7207.63,4.558139534883721,High Rated,-9.968340961707078
0307f7565ff85b299b6e5ef162b1b1a9,6,6,4968.89,3.5,Average,-16.086398533855874
0336182e1b3e92f029d5354832045fdf,1,2,47.370000000000005,2.0,Low Rated,-41.14059027796611
034b9387752bfa309f350a70cd45ffa3,8,8,240.26,4.5,High Rated,-14.651976273104083
038b75b729c8a9a04b0d07cba7eabe86,2,2,557.8499999999999,3.5,Average,-0.8001678241416812
039b29ff3b3473435d0cd59040575de9,9,9,215.55,4.444444444444445,High Rated,-9.96169881688224
039e6ad9dae79614493083e241147386,5,5,13273.42,4.0,High Rated,-11.414537036977709
03a2a6dcbe45d639c4dc2a0d24769c40,9,9,1250.66,4.111111111111111,High Rated,-11.993555812786022
03bd479e1d9484cdb14104d3023f7321,3,3,417.4200000000001,4.333333333333333,High Rated,-4.887588734428088
0417b067eeab773d2f7061a726dc477f,13,13,2501.75,3.923076923076923,Average,-3.1938310185304055
042573af89b6d931f672efaf789d8358,3,3,478.57000000000005,3.6666666666666665,Average,-0.3888503087994953
04308b1ee57b6625f47df1d56f00eedf,92,92,61940.62,3.9456521739130435,Average,-10.881928844635537
0432ead42b6c8a0bdf68154add917fdf,82,87,8754.4,4.551724137931035,High Rated,-12.76992989036565
044668ccd5316b12a7cf0d54a156e3e9,3,4,191.35,5.0,High Rated,-24.07161458337214
04843805947f0fc584fc1969b6e50fe7,1,2,1474.76,5.0,High Rated,0.6587615739554167
048c2757535328e0d7dac690ad3c0aae,50,50,10312.41,4.244897959183674,High Rated,-9.286541203698143
04aa0a1c5ce6b222003403a3e11c3cc0,11,17,6339.51,3.5294117647058822,Average,-15.898511710193228
04aba03279157f6d4e0fe8ccaf21963c,15,15,2735.23,4.533333333333333,High Rated,-13.255569444410503
04e38a233f726ef161074ab1c9b0399a,19,24,1347.27,4.166666666666667,High Rated,-5.191929976805113
04ee0ec01589969663ba5967c0e0bdc0,1,1,314.32,5.0,High Rated,-12.453877314925194
04fdea0c111866e6cf812f1570d6b5bd,8,8,1038.35,3.5,Average,-9.533265335601754
0509040ea3fe50071181bbc359eb7738,87,96,5099.25,4.494736842105263,High Rated,-10.060957754632303
